# Word-specific describer hints: english|hint_en|hint_ar
# Words not listed here fall back to their category hint.
Slippers|Soft shoes worn only inside the house.|أحذية خفيفة تلبس داخل البيت فقط.
Bracelet|Jewelry worn around the wrist.|حلية تلبس حول المعصم.
Necklace|Jewelry hanging around the neck.|حلية تتدلى حول العنق.
Earrings|Jewelry hanging from the ears.|حلي تتدلى من الأذنين.
Tram|Electric train running inside city streets.|قطار كهربائي يسير في شوارع المدينة.
Trailer|Box on wheels pulled behind a truck.|صندوق بعجلات يجر خلف الشاحنة.
Crane|Tall machine lifting heavy things to build towers.|آلة عالية ترفع الأثقال لبناء الأبراج.
Bulldozer|Yellow machine pushing earth and destroying walls.|آلة صفراء تجرف التراب وتهدم الجدران.
Tractor|Farm machine pulling the plow.|آلة المزرعة التي تجر المحراث.
Yacht|Luxury boat of the rich.|قارب الأغنياء الفاخر.
Canoe|Narrow light boat paddled by hand.|قارب ضيق خفيف يجدف باليد.
Sailboat|Boat moved by wind in its sails.|قارب تحركه الرياح في أشرعته.
Parachute|Opens like an umbrella when jumping from planes.|تنفتح كمظلة عند القفز من الطائرات.
Hot air balloon|Giant balloon carrying people in a basket.|منطاد عملاق يحمل الناس في سلة.
Fuel|What vehicles drink to move.|ما تشربه المركبات لتتحرك.
Engine|The heart of the car making it move.|قلب السيارة الذي يحركها.
Brake|You press it to stop the car.|ندوس عليه لإيقاف السيارة.
Steering wheel|You turn it to steer the car.|نديره لتوجيه السيارة.
Windshield|The big front glass of the car.|الزجاج الأمامي الكبير للسيارة.
Farmer|Plants crops and raises animals.|يزرع المحاصيل ويربي المواشي.
Baker|Bakes bread and cakes every dawn.|يخبز الخبز والحلويات كل فجر.
Barber|Cuts men's hair.|يحلق شعر الرجال.
Nurse|Cares for patients beside the doctor.|تعتني بالمرضى بجانب الطبيب.
Dentist|Doctor who fixes your teeth.|طبيب يعالج الأسنان.
Engineer|Designs machines, roads and buildings.|يصمم الآلات والطرق والمباني.
Electrician|Fixes wires and lights.|يصلح الأسلاك والأضواء.
Mechanic|Repairs broken cars.|يصلح السيارات المعطلة.
Waiter|Brings food to your table.|يحضر الطعام إلى طاولتك.
Chef|Master cook of a restaurant.|كبير طهاة المطعم.
Fisherman|Catches fish with nets from the sea.|يصطاد السمك بالشباك من البحر.
Shepherd|Watches over the sheep in the fields.|يرعى الغنم في الحقول.
Soldier|Defends the country in the army.|يدافع عن الوطن في الجيش.
Guard|Stands at the door protecting the place.|يقف على الباب يحمي المكان.
Librarian|Organizes books and helps readers.|ينظم الكتب ويساعد القراء.
Tennis|Two players hitting a ball over a net with rackets.|لاعبان يتبادلان الكرة فوق شبكة بمضربين.
Volleyball|Teams hitting the ball over a high net with hands.|فرق تضرب الكرة فوق شبكة عالية بالأيدي.
Boxing|Fighting sport with gloves in a ring.|رياضة قتال بالقفازات في حلبة.
Wrestling|Two fighters trying to pin each other down.|مصارعان يحاول كل منهما طرح الآخر.
Karate|Japanese fighting art with hands and shouts.|فن قتال ياباني بالأيدي والصرخات.
Marathon|Very long race of 42 kilometers.|سباق طويل جدا مسافته اثنان وأربعون كيلومترا.
Gymnastics|Sport of flips, balance and flexibility.|رياضة الشقلبات والتوازن والمرونة.
Skiing|Sliding down snowy mountains on two boards.|الانزلاق على الجبال الثلجية بلوحين.
Surfing|Riding ocean waves standing on a board.|ركوب أمواج المحيط وقوفا على لوح.
Archery|Shooting arrows at a round target.|رمي السهام نحو هدف دائري.
Chess|Board game of kings, queens and knights.|لعبة الرقعة بالملوك والوزراء والأحصنة.
Net|The ball must pass over it or into it.|يجب أن تعبره الكرة أو تدخل فيه.
Experiment|Test scientists do to discover something.|تجربة يجريها العلماء لاكتشاف شيء.
Funnel|Wide top, narrow bottom, for pouring liquids.|واسع من فوق ضيق من تحت لسكب السوائل.
Test tube|Thin glass tube holding lab liquids.|أنبوب زجاجي رفيع لسوائل المختبر.
Flask|Round glass bottle used in labs.|قارورة زجاجية مستديرة تستخدم في المختبرات.
Lens|Curved glass making things look bigger or clearer.|زجاجة محدبة تكبر الأشياء أو توضحها.
Mercury|The only liquid silver metal, in old thermometers.|المعدن الفضي السائل الوحيد في موازين الحرارة القديمة.
Oxygen|The gas we breathe to live.|الغاز الذي نتنفسه لنعيش.
Hydrogen|The lightest gas, first in the periodic table.|أخف الغازات وأول الجدول الدوري.
Steam|Hot water turned into white vapor.|ماء ساخن تحول بخارا أبيض.
Rust|Red-brown layer eating old iron.|طبقة بنية حمراء تأكل الحديد القديم.
Tablet|Flat touch screen bigger than a phone.|شاشة لمس مسطحة أكبر من الهاتف.
Laptop|Computer you fold and carry anywhere.|حاسوب يطوى ويحمل في أي مكان.
Router|Box spreading wifi through the house.|جهاز ينشر الواي فاي في البيت.
Flash drive|Tiny stick storing files in your pocket.|قطعة صغيرة تخزن الملفات في جيبك.
Cable|Wire connecting devices together.|سلك يوصل الأجهزة ببعضها.
Plug|You push it into the wall for power.|ندخله في الجدار للحصول على الكهرباء.
Socket|The holes in the wall where plugs go.|الثقوب في الجدار حيث يدخل القابس.
Remote control|You change TV channels with it from the sofa.|نغير به قنوات التلفاز من الأريكة.
Smartwatch|Watch counting your steps and showing messages.|ساعة تحسب خطواتك وتعرض رسائلك.
Scanner|Copies paper into the computer.|ينسخ الورق إلى الحاسوب.
Projector|Throws a big image onto the wall.|يعرض صورة كبيرة على الجدار.
Webcam|Small camera on top of the screen for calls.|كاميرا صغيرة أعلى الشاشة للمكالمات.
Border|The line separating two countries.|الخط الفاصل بين دولتين.
Capital|The main city where the government sits.|المدينة الرئيسية حيث تجلس الحكومة.
Village|Small quiet place in the countryside.|مكان صغير هادئ في الريف.
Countryside|Green land far from the city.|الأرض الخضراء البعيدة عن المدينة.
Jungle|Thick hot forest full of wild animals.|غابة كثيفة حارة مليئة بالوحوش.
Plain|Wide flat land with no mountains.|أرض واسعة مستوية بلا جبال.
Riverbank|The land on the edge of the river.|الأرض على حافة النهر.
Summit|The very top of the mountain.|أعلى نقطة في الجبل.
Slope|The tilted side of a hill.|الجانب المائل من التل.
Lagoon|Calm shallow water separated from the sea.|ماء هادئ ضحل معزول عن البحر.
Trumpet|Golden horn with three buttons you blow.|بوق ذهبي بثلاثة أزرار ينفخ فيه.
Saxophone|Curved golden jazz instrument.|آلة الجاز الذهبية المنحنية.
Accordion|You squeeze it open and closed to play.|نضغطها فتحا وإغلاقا للعزف.
Oud|The king of Arabic string instruments.|ملك الآلات الوترية العربية.
Tambourine|Round frame with jingles you shake and hit.|إطار مستدير بصنوج يهز ويضرب.
Choir|Group singing together in harmony.|مجموعة تغني معا بتناغم.
Concert|Live music show for a big audience.|عرض موسيقي حي لجمهور كبير.
Song|Words and melody sung together.|كلمات ولحن يغنيان معا.
Square|Open space in the city center.|ساحة مفتوحة في وسط المدينة.
Alley|Very narrow street between buildings.|زقاق ضيق جدا بين المباني.
Crosswalk|White stripes where people cross the street.|خطوط بيضاء يعبر عليها المشاة.
Billboard|Huge advertising board by the road.|لوحة إعلانات ضخمة عند الطريق.
Bench|Public seat in the park.|مقعد عام في الحديقة.
Streetlight|Pole lighting the street at night.|عمود يضيء الشارع ليلا.
Cinema|Dark hall where films are shown.|قاعة مظلمة تعرض فيها الأفلام.
Theater|Stage where actors perform live.|مسرح يؤدي عليه الممثلون مباشرة.
Zoo|Park where wild animals are kept for visits.|حديقة تعرض الحيوانات البرية للزوار.
Prison|Where criminals are locked up.|حيث يحبس المجرمون.
Whiteboard|You write on it with erasable markers.|نكتب عليها بأقلام قابلة للمسح.
Marker|Thick pen writing on boards.|قلم غليظ يكتب على السبورات.
Highlighter|Bright pen coloring important words.|قلم فاقع يلون الكلمات المهمة.
Paperclip|Bent wire holding papers together.|سلك ملوي يجمع الأوراق.
Rubber stamp|Pressed with ink to mark documents.|يضغط بالحبر لختم الوثائق.
Briefcase|Flat leather bag for work papers.|حقيبة جلدية مسطحة لأوراق العمل.
Receipt|Paper proving you paid.|ورقة تثبت أنك دفعت.
Contract|Signed paper of agreement.|ورقة اتفاق موقعة.
Armchair|Comfortable single seat with two arms.|مقعد مريح لشخص واحد بذراعين.
